"TRIP_ID","TRIP_NAME","START_LOCATION","STATE","DISTANCE","MAX_GRP_SIZE","TYPE","SEASON"
"1","Arethusa Falls                                                             ","Harts Location                                    ","NH","5","10","Hiking              ","Summer              "
"2","Mt Ascutney - North Peak                                                   ","Weathersfield                                     ","VT","5","6","Hiking              ","Late Spring         "
"3","Mt Ascutney - West Peak                                                    ","Weathersfield                                     ","VT","6","10","Hiking              ","Early Fall          "
"4","Bradbury Mountain Ride                                                     ","Lewiston-Auburn                                   ","ME","25","8","Biking              ","Early Fall          "
"5","Baldpate Mountain                                                          ","North Newry                                       ","ME","6","10","Hiking              ","Late Spring         "
"6","Blueberry Mountain                                                         ","Batchelders Grant                                 ","ME","8","8","Hiking              ","Early Fall          "
"7","Bloomfield - Maidstone                                                     ","Bloomfield                                        ","CT","10","6","Paddling            ","Late Spring         "
"8","Black Pond                                                                 ","Lincoln                                           ","NH","8","12","Hiking              ","Summer              "
"9","Big Rock Cave                                                              ","Tamworth                                          ","NH","6","10","Hiking              ","Summer              "
"10","Mt. Cardigan - Firescrew                                                   ","Orange                                            ","NH","7","8","Hiking              ","Summer              "
"11","Chocorua Lake Tour                                                         ","Tamworth                                          ","NH","12","15","Paddling            ","Summer              "
"12","Cadillac Mountain Ride                                                     ","Bar Harbor                                        ","ME","8","16","Biking              ","Early Fall          "
"13","Cadillac Mountain                                                          ","Bar Harbor                                        ","ME","7","8","Hiking              ","Late Spring         "
"14","Cannon Mtn                                                                 ","Franconia                                         ","NH","6","6","Hiking              ","Early Fall          "
"15","Crawford Path Presidentials Hike                                           ","Crawford Notch                                    ","NH","16","4","Hiking              ","Summer              "
"16","Cherry Pond                                                                ","Whitefield                                        ","NH","6","16","Hiking              ","Spring              "
"17","Huguenot Head Hike                                                         ","Bar Harbor                                        ","ME","5","10","Hiking              ","Early Fall          "
"18","Low Bald Spot Hike                                                         ","Pinkam Notch                                      ","NH","8","6","Hiking              ","Early Fall          "
"19","Mason's Farm                                                               ","North Stratford                                   ","CT","12","7","Paddling            ","Late Spring         "
"20","Lake Mephremagog Tour                                                      ","Newport                                           ","VT","8","15","Paddling            ","Late Spring         "
"21","Long Pond                                                                  ","Rutland                                           ","MA","8","12","Hiking              ","Summer              "
"22","Long Pond Tour                                                             ","Greenville                                        ","ME","12","10","Paddling            ","Summer              "
"23","Lower Pond Tour                                                            ","Poland                                            ","ME","8","15","Paddling            ","Late Spring         "
"24","Mt Adams                                                                   ","Randolph                                          ","NH","9","6","Hiking              ","Summer              "
"25","Mount Battie Ride                                                          ","Camden                                            ","ME","20","8","Biking              ","Early Fall          "
"26","Mount Cardigan Hike                                                        ","Cardigan                                          ","NH","4","16","Hiking              ","Late Fall           "
"27","Mt. Chocorua                                                               ","Albany                                            ","NH","6","10","Hiking              ","Spring              "
"28","Mount Garfield Hike                                                        ","Woodstock                                         ","NH","5","10","Hiking              ","Early Fall          "
"29","Metacomet-Monadnock Trail Hike                                             ","Pelham                                            ","MA","10","12","Hiking              ","Late Spring         "
"30","McLennan Reservation Hike                                                  ","Tyringham                                         ","MA","6","16","Hiking              ","Summer              "
"31","Missisquoi River - VT                                                      ","Lowell                                            ","VT","12","10","Paddling            ","Summer              "
"32","Northern Forest Canoe Trail                                                ","Stark                                             ","NH","15","10","Paddling            ","Summer              "
"33","Park Loop Ride                                                             ","Mount Desert Island                               ","ME","27","8","Biking              ","Late Spring         "
"34","Pontook Reservoir Tour                                                     ","Dummer                                            ","NH","15","14","Paddling            ","Late Spring         "
"35","Pisgah STATE Park Ride                                                     ","Northborough                                      ","NH","12","10","Biking              ","Summer              "
"36","Pondicherry Trail Ride                                                     ","White Mountains                                   ","NH","15","16","Biking              ","Late Spring         "
"37","Seal Beach Harbor                                                          ","Bar Harbor                                        ","ME","5","16","Hiking              ","Early Spring        "
"38","Sawyer River Ride                                                          ","Mount Carrigain                                   ","NH","10","18","Biking              ","Early Fall          "
"39","Welch and Dickey Mountains Hike                                            ","Thorton                                           ","NH","5","10","Hiking              ","Summer              "
"40","Wachusett Mountain                                                         ","Princeton                                         ","MA","8","8","Hiking              ","Early Spring        "
"41","Westfield River Loop                                                       ","Fort Fairfield                                    ","ME","20","10","Biking              ","Late Spring         "
